volume	existing_pores	added_pores	final_pores
MOM_12_01	2059	0	2059
MOM_12_02	1047	21	1068
MOM_12_03	246	0	246
MOM_12_04	918	0	918
MOM_12_05	21	0	21
MOM_12_06	860	0	860
MOM_210_01	4210	64	4274
MOM_210_02	2608	178	2786
MOM_210_03	3763	54	3817
MOM_210_04	2110	49	2159
MOM_210_05	2429	78	2507
MOM_210_06	3412	69	3481
MOM_210_07	5815	268	6083
MOM_210_08	3542	163	3705
MOM_210_09	2941	43	2984
MOM_210_10	4631	164	4795
MOM_250_01	4159	51	4210
MOM_250_02	3394	97	3491
MOM_250_03	4716	111	4827
MOM_250_04	4083	162	4245
MOM_250_05	5315	122	5437
MOM_250_06	4443	55	4498
MOM_250_07	5817	97	5914
MOM_250_08	5309	105	5414
MOM_250_09	3654	359	4013
MOM_250_10	3543	132	3675
MOM_300_01	5347	50	5397
MOM_300_02	4112	115	4227
MOM_300_03	3819	213	4032
MOM_300_04	5052	66	5118
MOM_300_05	4481	79	4560
MOM_300_06	4642	51	4693
MOM_300_07	5015	87	5102
MOM_300_08	3820	25	3845
MOM_300_09	5417	88	5505
MOM_300_10	4784	159	4943
MOM_31_01	3140	230	3370
MOM_31_02	2380	83	2463
MOM_31_03	3781	41	3822
MOM_31_04	2386	44	2430
MOM_31_05	3344	109	3453
MOM_31_06	3824	38	3862
MOM_31_07	2306	50	2356
MOM_31_08	2933	136	3069
MOM_31_09	4336	68	4404
MOM_330_01	5308	65	5373
MOM_330_02	3113	36	3149
MOM_330_03	3151	37	3188
MOM_330_04	2989	54	3043
MOM_330_05	4538	94	4632
MOM_330_07	5584	81	5665
MOM_330_08	2843	57	2900
MOM_330_09	3489	179	3668
MOM_330_10	2394	24	2418
MOM_398_1	5082	533	5615
MOM_398_10	663	0	663
MOM_398_11	1895	133	2028
MOM_398_2	2945	359	3304
MOM_398_3	4909	345	5254
MOM_398_5	4007	228	4235
MOM_398_6	3953	340	4293
MOM_398_7	4350	165	4515
MOM_398_8	2834	500	3334
MOM_398_9	2261	363	2624
MOM_3_01	2414	33	2447
MOM_3_02	1653	27	1680
MOM_3_03	1237	66	1303
MOM_3_04	2057	43	2100
MOM_3_05	2705	0	2705
MOM_3_06	2195	46	2241
MOM_3_07	1904	16	1920
MOM_3_08	1172	2	1174
MOM_593_1	2096	23	2119
MOM_593_2	1278	12	1290
MOM_593_3	1210	40	1250
MOM_593_5	1618	92	1710
MOM_593_6	1880	36	1916
MOM_593_7	1064	50	1114
MOM_777_1	511	0	511
MOM_777_2	1549	122	1671
MOM_777_3	1015	0	1015
MOM_777_4	1937	12	1949
MOM_777_5	1000	0	1000
MOM_777_6	5978	31	6009
MOM_777_7	536	56	592
MOM_777_8	1642	23	1665
MOM_777_9	335	0	335
MOM_7_01	183	0	183
MOM_7_02	176	0	176
MOM_7_03	264	0	264
MOM_7_04	5726	92	5818
MOM_7_05	162	0	162
MOM_7_06	241	0	241
MOM_7_07	320	0	320
MOM_820_1	504	0	504
MOM_820_10	1853	0	1853
MOM_820_2	2587	19	2606
MOM_820_3	1786	15	1801
MOM_820_4	225	0	225
MOM_820_5	1512	188	1700
MOM_820_6	1794	84	1878
MOM_820_7	1269	47	1316
MOM_820_8	1616	68	1684
MOM_820_9	2023	73	2096
MOM_853_1	849	41	890
MOM_853_10	1323	4	1327
MOM_853_2	1323	38	1361
MOM_853_5	2011	17	2028
MOM_853_6	884	13	897
MOM_853_7	703	0	703
MOM_853_8	1096	3	1099
MOM_853_9	803	3	806
MOM_890_1	1546	27	1573
MOM_890_10	2493	126	2619
MOM_890_2	1489	195	1684
MOM_890_3	2317	104	2421
MOM_890_4	2668	75	2743
MOM_890_5	4049	1039	5088
MOM_890_6	2026	132	2158
MOM_890_7	2191	106	2297
MOM_890_8	2156	127	2283
MOM_890_9	1849	98	1947
