volume,n_chambers,remapped
MOM_12_01,10,True
MOM_12_02,9,True
MOM_12_03,3,True
MOM_12_04,7,True
MOM_12_05,1,True
MOM_12_06,5,True
MOM_210_01,18,True
MOM_210_02,12,True
MOM_210_03,15,True
MOM_210_04,15,True
MOM_210_05,12,True
MOM_210_06,15,True
MOM_210_07,17,True
MOM_210_08,15,True
MOM_210_09,13,True
MOM_210_10,17,True
MOM_250_01,17,True
MOM_250_02,14,True
MOM_250_03,16,True
MOM_250_04,20,True
MOM_250_05,14,True
MOM_250_06,18,True
MOM_250_07,16,True
MOM_250_08,16,True
MOM_250_09,16,True
MOM_250_10,15,True
MOM_300_01,13,True
MOM_300_02,13,True
MOM_300_03,14,True
MOM_300_04,20,True
MOM_300_05,15,True
MOM_300_06,14,True
MOM_300_07,15,True
MOM_300_08,17,True
MOM_300_09,17,True
MOM_300_10,16,True
MOM_31_01,9,True
MOM_31_02,12,True
MOM_31_03,15,True
MOM_31_04,17,True
MOM_31_05,15,True
MOM_31_06,13,True
MOM_31_07,15,True
MOM_31_08,13,True
MOM_31_09,16,True
MOM_330_01,18,True
MOM_330_02,16,True
MOM_330_03,15,True
MOM_330_04,13,True
MOM_330_05,18,True
MOM_330_07,16,True
MOM_330_08,14,True
MOM_330_09,14,True
MOM_330_10,13,True
MOM_398_1,19,True
MOM_398_10,3,True
MOM_398_11,9,True
MOM_398_2,13,True
MOM_398_3,17,True
MOM_398_5,15,True
MOM_398_6,12,True
MOM_398_7,14,True
MOM_398_8,16,True
MOM_398_9,12,True
MOM_3_01,14,True
MOM_3_02,12,True
MOM_3_03,11,True
MOM_3_04,14,True
MOM_3_05,13,True
MOM_3_06,11,True
MOM_3_07,12,True
MOM_3_08,9,True
MOM_593_1,13,True
MOM_593_2,10,True
MOM_593_3,10,True
MOM_593_5,9,True
MOM_593_6,12,True
MOM_593_7,9,True
MOM_777_1,3,True
MOM_777_2,11,True
MOM_777_3,7,True
MOM_777_4,10,True
MOM_777_5,8,True
MOM_777_6,13,True
MOM_777_7,6,True
MOM_777_8,10,True
MOM_777_9,2,True
MOM_7_01,3,True
MOM_7_02,2,True
MOM_7_03,2,True
MOM_7_04,14,True
MOM_7_05,2,True
MOM_7_06,3,True
MOM_7_07,3,True
MOM_820_1,4,True
MOM_820_10,12,True
MOM_820_2,14,True
MOM_820_3,8,True
MOM_820_4,2,True
MOM_820_5,6,True
MOM_820_6,6,True
MOM_820_7,9,True
MOM_820_8,10,True
MOM_820_9,10,True
MOM_853_1,6,True
MOM_853_10,9,True
MOM_853_2,6,True
MOM_853_5,12,True
MOM_853_6,7,True
MOM_853_7,6,True
MOM_853_8,9,True
MOM_853_9,8,True
MOM_890_1,12,True
MOM_890_10,9,True
MOM_890_2,12,True
MOM_890_3,9,True
MOM_890_4,13,True
MOM_890_5,14,True
MOM_890_6,13,True
MOM_890_7,8,True
MOM_890_8,12,True
MOM_890_9,11,True
